uri,prefLabel,prefLabel_en,casNumber,ecNumber,altLabel,altLabel_en,comment,definition,broader,broadMatch,collections,exactMatch,narrowMatch,notation,pubchem,source,theme,topConceptOf,inScheme,belongsTo,validatiestatus
apeo_c9,Alkylfenolethoxylaat C9,,,,,,,,,,collectie:water,,,APEO C9,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apolairekoolwaterstoffen_fractiec10-c12,"Apolaire koolwaterstoffen, fractie C10-C12",,,,,,,,,,,,,"Apolairekoolwaterstoffen,fractieC10-C12",,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apolairekoolwaterstoffen_fractiec12-c20,"Apolaire koolwaterstoffen, fractie C12-C20",,,,,,,,,,,,,"Apolairekoolwaterstoffen,fractieC12-C20",,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apolairekoolwaterstoffen_fractiec20-c30,"Apolaire koolwaterstoffen, fractie C20-C30",,,,,,,,,,,,,"Apolairekoolwaterstoffen,fractieC20-C30",,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apolairekoolwaterstoffen_fractiec30-c40,"Apolaire koolwaterstoffen, fractie C30-C40",,,,,,,,,,,,,"Apolairekoolwaterstoffen,fractieC30-C40",,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
arom__gt_c13,Aromaten >C13,,,,,,,,,,collectie:water,,,Arom >C13,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
arom_c10,Aromaten C10,,,,,,,,,,collectie:water,,,Arom C10,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
arom_c9,Aromaten C9,,,,,,,,,,collectie:water,,,Arom C9,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
arom_c9-c10,C9-C10 aromaten,,,,,,,,,,collectie:water,,,Arom C9-C10,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
arom_kws__mak___pak,aromatische koolwaterstoffen,,,,,,,,,,collectie:water,,,arom KWS = MAK + PAK,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
arom_vlucht,Vluchtige aromaten,,,,,,,,,,collectie:water,,,Arom vlucht,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
arom_vlucht_i,"Vluchtige aromaten, individueel",,,,,,,,,,collectie:water,,,Arom vlucht i,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromaten,Aromaten,,,,,,,,,,collectie:water,,,Aromaten,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromatenc10som,Aromaten C10 (som),,,,,,,,,,,,,AromatenC10(som),,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromatenc11,Aromaten C11,,,,,,,,,,,,,AromatenC11,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromatenc12,Aromaten C12,,,,,,,,,,,,,AromatenC12,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromatenc13,Aromaten C13,,,,,,,,,,,,,AromatenC13,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromatenc9som,Aromaten C9 (som),,,,,,,,,,,,,AromatenC9(som),,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromatengroterdanec10totec12,Aromaten groter dan EC10 tot EC12,,,,,,,,,,,,,AromatengroterdanEC10totEC12,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromatengroterdanec12totec13,Aromaten groter dan EC12 tot EC13,,,,,,,,,,,,,AromatengroterdanEC12totEC13,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
aromatengroterdanec12totec16,Aromaten groter dan EC12 tot EC16,,,,,,,,,,,,,AromatengroterdanEC12totEC16,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
